"ExtractDate","CategoryCode","Country","Frequence"
"07","GL","EQUATORIAL GUINEA",1
"07","GL","ESTONIA",33
"07","GL","FALKLAND ISLANDS (MALVINAS)",1
"07","GL","FIJI",5
"07","GL","FINLAND",482
"07","GL","FRANCE",2422
"07","GL","FRENCH POLYNESIA",3
"07","GL","FRENCH SOUTHERN TERRITORIES",1
"07","GL","GABON",4
"07","GL","GAMBIA",11
"07","GL","GEORGIA",26
"07","GL","GERMANY",2894
"07","GL","GHANA",51
"07","GL","GIBRALTAR",116
"07","GL","GREECE",103
"07","GL","GREENLAND",1
"07","GL","GRENADA",33
"07","GL","GUADELOUPE",1
"07","GL","GUAM",4
"07","GL","GUATEMALA",81
"07","GL","GUERNSEY",2585
"07","GL","GUINEA",7
"07","GL","GUINEA-BISSAU",1
"07","GL","GUYANA",7
"07","GL","HAITI",13
"07","GL","HONDURAS",50
"07","GL","HONG KONG",2008
"07","GL","HUNGARY",115
"07","GL","ICELAND",12
"07","GL","INDIA",321
"07","GL","INDONESIA",351
"07","GL","IRAQ",49
"07","GL","IRELAND",2007
"07","GL","ISLE OF MAN",355
"07","GL","ISRAEL",352
"07","GL","ITALY",587
"07","GL","JAMAICA",42
"07","GL","JAPAN",3390
"07","GL","JERSEY",1974
"07","GL","JORDAN",48
"07","GL","KAZAKHSTAN",96
"07","GL","KENYA",54
"07","GL","KIRIBATI",1
"07","GL","KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",1
"07","GL","KOREA, REPUBLIC OF",448
"07","GL","KUWAIT",84
"07","GL","KYRGYZSTAN",29
"07","GL","LAO PEOPLE'S DEMOCRATIC REPUBLIC",13
"07","GL","LATVIA",50
"07","GL","LEBANON",122
"07","GL","LESOTHO",2
"07","GL","LIBERIA",29
"07","GL","LIBYA",7
"07","GL","LIECHTENSTEIN",291
"07","GL","LITHUANIA",29
"07","GL","LUXEMBOURG",4061
"07","GL","MACAO",64
"07","GL","MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",18
"07","GL","MADAGASCAR",7
"07","GL","MALAWI",10
"07","GL","MALAYSIA",437
"07","GL","MALDIVES",6
"07","GL","MALI",5
"07","GL","MALTA",348
"07","GL","MARSHALL ISLANDS",80
"07","GL","MARTINIQUE",1
"07","GL","MAURITANIA",6
"07","GL","MAURITIUS",872
"07","GL","MEXICO",410
"07","GL","MOLDOVA, REPUBLIC OF",20
"07","GL","MONACO",105
"07","GL","MONGOLIA",15
"07","GL","MONTENEGRO",7
"07","GL","MONTSERRAT",12
"07","GL","MOROCCO",133
"07","GL","MOZAMBIQUE",15
"07","GL","MYANMAR",6
"07","GL","NAMIBIA",26
"07","GL","NEPAL",33
"07","GL","NETHERLANDS",2280
"07","GL","NEW CALEDONIA",5
"07","GL","NEW ZEALAND",396
"07","GL","NICARAGUA",15
"07","GL","NIGER",4
"07","GL","NIGERIA",76
"07","GL","NORWAY",349
"07","GL","OMAN",25
"07","GL","OTHER",32
"07","GL","PAKISTAN",89
"07","GL","PANAMA",484
"07","GL","PAPUA NEW GUINEA",4
"07","GL","PARAGUAY",17
"07","GL","PERU",172
"07","GL","PHILIPPINES",178
"07","GL","POLAND",180
"07","GL","PORTUGAL",287
"07","GL","PUERTO RICO",4
"07","GL","QATAR",52
"07","GL","REUNION",1
"07","GL","ROMANIA",114
"07","GL","RUSSIAN FEDERATION",729
"07","GL","RWANDA",9
"07","GL","SAINT KITTS AND NEVIS",106
"07","GL","SAINT LUCIA",66
"07","GL","SAINT MARTIN (FRENCH PART)",3
"07","GL","SAINT PIERRE AND MIQUELON",1
"07","GL","SAINT VINCENT AND THE GRENADINES",124
"07","GL","SAMOA",51
"07","GL","SAN MARINO",15
"07","GL","SAO TOME AND PRINCIPE",1
"07","GL","SAUDI ARABIA",21
"07","GL","SENEGAL",10
"07","GL","SERBIA",32
"07","GL","SEYCHELLES",43
"07","GL","SIERRA LEONE",9
"07","GL","SINGAPORE",1072
"07","GL","SINT MAARTEN (DUTCH PART)",17
"07","GL","SLOVAKIA",63
"07","GL","SLOVENIA",32
"07","GL","SOLOMON ISLANDS",3
"07","GL","SOUTH AFRICA",395
"07","GL","SOUTH SUDAN",5
"07","GL","SPAIN",1227
"07","GL","SRI LANKA",42
"07","GL","SURINAME",9
"07","GL","SWAZILAND",5
"07","GL","SWEDEN",414
"07","GL","SWITZERLAND",4279
"07","GL","TAIWAN",481
"07","GL","TAJIKISTAN",19
"07","GL","TANZANIA, UNITED REPUBLIC OF",16
"07","GL","THAILAND",823
"07","GL","TIMOR-LESTE",2
"07","GL","TOGO",6
"07","GL","TONGA",2
"07","GL","TRINIDAD AND TOBAGO",59
"07","GL","TUNISIA",10
"07","GL","TURKEY",210
"07","GL","TURKMENISTAN",1
"07","GL","TURKS AND CAICOS ISLANDS",35
"07","GL","UGANDA",19
"07","GL","UKRAINE",187
"07","GL","UNITED ARAB EMIRATES",204
"07","GL","UNITED KINGDOM",6994
"07","GL","UNITED STATES",620
"07","GL","URUGUAY",142
"07","GL","UZBEKISTAN",2
"07","GL","VANUATU",5
"07","GL","VENEZUELA, BOLIVARIAN REPUBLIC OF",49
"07","GL","VIET NAM",129
"07","GL","VIRGIN ISLANDS (BRITISH)",2373
"07","GL","VIRGIN ISLANDS (U.S.)",2
"07","GL","WALLIS AND FUTUNA",1
"07","GL","WEST BANK AND GAZA",23
"07","GL","YEMEN",18
"07","GL","ZAMBIA",13
"07","GL","ZIMBABWE",6
"07","SL","AFGHANISTAN",7
"07","SL","ALBANIA",4
"07","SL","ALGERIA",2
"07","SL","ANDORRA",12
"07","SL","ANGOLA",3
"07","SL","ANGUILLA",77
"07","SL","ANTIGUA AND BARBUDA",25
"07","SL","ARGENTINA",220
"07","SL","ARMENIA",20
"07","SL","ARUBA",5
"07","SL","AUSTRALIA",1163
"07","SL","AUSTRIA",2546
"07","SL","AZERBAIJAN",30
"07","SL","BAHAMAS",358
"07","SL","BAHRAIN",44
"07","SL","BANGLADESH",28
"07","SL","BARBADOS",48
"07","SL","BELARUS",56
"07","SL","BELGIUM",61
"07","SL","BELIZE",62
"07","SL","BENIN",2
"07","SL","BERMUDA",1051
"07","SL","BHUTAN",1
"07","SL","BOLIVIA, PLURINATIONAL STATE OF",8
"07","SL","BOSNIA AND HERZEGOVINA",4
"07","SL","BOTSWANA",4
"07","SL","BRAZIL",1720
"07","SL","BRUNEI DARUSSALAM",5
"07","SL","BULGARIA",43
"07","SL","BURKINA FASO",1
"07","SL","BURUNDI",3
"07","SL","CAMBODIA",57
"07","SL","CAMEROON",3
"07","SL","CANADA",1478
"07","SL","CAPE VERDE",2
"07","SL","CAYMAN ISLANDS",13343
"07","SL","CENTRAL AFRICAN REPUBLIC",1
"07","SL","CHAD",1
"07","SL","CHILE",23
"07","SL","CHINA",58
"07","SL","COLOMBIA",72
"07","SL","CONGO",1
"07","SL","CONGO, DEMOCRATIC REPUBLIC OF THE",5
"07","SL","COOK ISLANDS",24
"07","SL","COSTA RICA",30
"07","SL","COTE D'IVOIRE",4
"07","SL","CROATIA",22
"07","SL","CURACAO",82
"07","SL","CYPRUS",110
"07","SL","CZECH REPUBLIC",9
"07","SL","DENMARK",73
"07","SL","DOMINICA",7
"07","SL","DOMINICAN REPUBLIC",51
"07","SL","ECUADOR",9
"07","SL","EGYPT",40
"07","SL","EL SALVADOR",9
"07","SL","ESTONIA",8
"07","SL","FIJI",1
"07","SL","FINLAND",56
"07","SL","FRANCE",1049
"07","SL","FRENCH SOUTHERN TERRITORIES",1
"07","SL","GABON",2
"07","SL","GAMBIA",3
"07","SL","GEORGIA",12
"07","SL","GERMANY",1973
"07","SL","GHANA",20
"07","SL","GIBRALTAR",38
"07","SL","GREECE",24
"07","SL","GRENADA",19
"07","SL","GUATEMALA",26
"07","SL","GUERNSEY",1842
"07","SL","GUINEA",2
"07","SL","GUINEA-BISSAU",1
"07","SL","GUYANA",1
"07","SL","HAITI",3
"07","SL","HONDURAS",13
"07","SL","HONG KONG",701
"07","SL","HUNGARY",35
"07","SL","ICELAND",9
"07","SL","INDIA",151
"07","SL","INDONESIA",216
"07","SL","IRAQ",26
"07","SL","IRELAND",1278
"07","SL","ISLE OF MAN",121
"07","SL","ISRAEL",163
"07","SL","ITALY",149
"07","SL","JAMAICA",7
"07","SL","JAPAN",2264
"07","SL","JERSEY",1003
"07","SL","JORDAN",2
"07","SL","KAZAKHSTAN",58
"07","SL","KENYA",21
"07","SL","KOREA, REPUBLIC OF",128
"07","SL","KUWAIT",27
"07","SL","KYRGYZSTAN",23
"07","SL","LAO PEOPLE'S DEMOCRATIC REPUBLIC",1
"07","SL","LATVIA",14
"07","SL","LEBANON",30
"07","SL","LESOTHO",1
"07","SL","LIBERIA",16
"07","SL","LIBYA",2
"07","SL","LIECHTENSTEIN",154
"07","SL","LITHUANIA",3
"07","SL","LUXEMBOURG",2321
"07","SL","MACAO",9
"07","SL","MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",8
"07","SL","MADAGASCAR",1
"07","SL","MALAWI",2
"07","SL","MALAYSIA",115
"07","SL","MALDIVES",2
"07","SL","MALI",1
"07","SL","MALTA",219
"07","SL","MARSHALL ISLANDS",59
"07","SL","MARTINIQUE",1
"07","SL","MAURITANIA",3
"07","SL","MAURITIUS",539
"07","SL","MEXICO",101
"07","SL","MOLDOVA, REPUBLIC OF",14
"07","SL","MONACO",56
"07","SL","MONGOLIA",5
"07","SL","MONTSERRAT",5
"07","SL","MOROCCO",58
"07","SL","MOZAMBIQUE",6
"07","SL","MYANMAR",1
"07","SL","NEPAL",32
"07","SL","NETHERLANDS",1149
"07","SL","NEW CALEDONIA",1
"07","SL","NEW ZEALAND",121
"07","SL","NICARAGUA",3
"07","SL","NIGER",1
"07","SL","NIGERIA",17
"07","SL","NORWAY",103
"07","SL","OMAN",7
"07","SL","OTHER",18
"07","SL","PAKISTAN",20
"07","SL","PANAMA",219
"07","SL","PARAGUAY",11
"07","SL","PERU",72
"07","SL","PHILIPPINES",53
"07","SL","POLAND",34
"07","SL","PORTUGAL",19
"07","SL","QATAR",8
"07","SL","ROMANIA",5
"07","SL","RUSSIAN FEDERATION",507
"07","SL","RWANDA",6
"07","SL","SAINT KITTS AND NEVIS",55
"07","SL","SAINT LUCIA",27
"07","SL","SAINT VINCENT AND THE GRENADINES",37
"07","SL","SAMOA",13
"07","SL","SAN MARINO",1
"07","SL","SAO TOME AND PRINCIPE",1
"07","SL","SAUDI ARABIA",3
"07","SL","SENEGAL",2
"07","SL","SERBIA",6
"07","SL","SEYCHELLES",10
"07","SL","SIERRA LEONE",1
"07","SL","SINGAPORE",417
"07","SL","SLOVAKIA",4
"07","SL","SLOVENIA",6
"07","SL","SOUTH AFRICA",58
"07","SL","SOUTH SUDAN",2
"07","SL","SPAIN",448
"07","SL","SRI LANKA",26
"07","SL","SURINAME",8
"07","SL","SWAZILAND",2
"07","SL","SWEDEN",169
"07","SL","SWITZERLAND",3233
"07","SL","TAIWAN",177
"07","SL","TAJIKISTAN",17
"07","SL","TANZANIA, UNITED REPUBLIC OF",6
"07","SL","THAILAND",313
"07","SL","TOGO",2
"07","SL","TRINIDAD AND TOBAGO",12
"07","SL","TURKEY",33
"07","SL","TURKMENISTAN",1
"07","SL","TURKS AND CAICOS ISLANDS",20
"07","SL","UGANDA",5
"07","SL","UKRAINE",154
"07","SL","UNITED ARAB EMIRATES",28
"07","SL","UNITED KINGDOM",3110
"07","SL","UNITED STATES",200
"07","SL","URUGUAY",70
"07","SL","UZBEKISTAN",2
"07","SL","VANUATU",2
"07","SL","VENEZUELA, BOLIVARIAN REPUBLIC OF",30
"07","SL","VIET NAM",36
"07","SL","VIRGIN ISLANDS (BRITISH)",1358
"07","SL","WEST BANK AND GAZA",6
"07","SL","YEMEN",9
"07","SL","ZAMBIA",4
"07","SL","ZIMBABWE",3
"07","LE","ANDORRA",4
"07","LE","ANGOLA",2
"07","LE","ANGUILLA",3
"07","LE","ANTIGUA AND BARBUDA",1
"07","LE","ARGENTINA",17
"07","LE","ARMENIA",2
"07","LE","ARUBA",1
"07","LE","AUSTRALIA",52
"07","LE","AUSTRIA",71
"07","LE","BAHAMAS",23
"07","LE","BAHRAIN",27
"07","LE","BANGLADESH",22
"07","LE","BARBADOS",7
"07","LE","BELARUS",1
"07","LE","BELGIUM",12
"07","LE","BELIZE",5
"07","LE","BENIN",1
"07","LE","BERMUDA",103
"07","LE","BOLIVIA, PLURINATIONAL STATE OF",3
"07","LE","BOTSWANA",3
"07","LE","BRAZIL",51
"07","LE","BRUNEI DARUSSALAM",2
"07","LE","BULGARIA",4
"07","LE","CAMBODIA",2
"07","LE","CANADA",92
"07","LE","CAYMAN ISLANDS",813
"07","LE","CHILE",26
"07","LE","CHINA",3
"07","LE","COLOMBIA",7
"07","LE","COOK ISLANDS",36
"07","LE","COSTA RICA",15
"07","LE","CROATIA",1
"07","LE","CURACAO",13
"07","LE","CYPRUS",12
"07","LE","CZECH REPUBLIC",3
"07","LE","DENMARK",10
"07","LE","DJIBOUTI",1
"07","LE","DOMINICA",1
"07","LE","DOMINICAN REPUBLIC",2
"07","LE","ECUADOR",4
"07","LE","EGYPT",12
"07","LE","EL SALVADOR",4
"07","LE","FINLAND",13
"07","LE","FRANCE",106
"07","LE","GEORGIA",2
"07","LE","GERMANY",65
"07","LE","GHANA",4
"07","LE","GIBRALTAR",1
"07","LE","GREECE",12
"07","LE","GUATEMALA",10
"07","LE","GUERNSEY",98
"07","LE","GUYANA",2
"07","LE","HAITI",1
"07","LE","HONDURAS",6
"07","LE","HONG KONG",77
"07","LE","HUNGARY",4
"07","LE","ICELAND",1
"07","LE","INDIA",1
"07","LE","INDONESIA",9
"07","LE","IRAQ",3
"07","LE","IRELAND",37
"07","LE","ISLE OF MAN",16
"07","LE","ISRAEL",24
"07","LE","ITALY",33
"07","LE","JAMAICA",6
"07","LE","JAPAN",167
"07","LE","JERSEY",92
"07","LE","JORDAN",10
"07","LE","KAZAKHSTAN",9
"07","LE","KENYA",11
"07","LE","KOREA, REPUBLIC OF",21
"07","LE","KUWAIT",15
"07","LE","LATVIA",4
"07","LE","LEBANON",18
"07","LE","LIBYA",2
"07","LE","LIECHTENSTEIN",11
"07","LE","LUXEMBOURG",166
"07","LE","MACAO",2
"07","LE","MALAWI",1
"07","LE","MALAYSIA",29
"07","LE","MALTA",19
"07","LE","MARSHALL ISLANDS",3
"07","LE","MAURITIUS",16
"07","LE","MEXICO",14
"07","LE","MONACO",1
"07","LE","MONGOLIA",3
"07","LE","MOROCCO",10
"07","LE","MOZAMBIQUE",1
"07","LE","NAMIBIA",4
"07","LE","NETHERLANDS",62
"07","LE","NEW ZEALAND",12
"07","LE","NICARAGUA",3
"07","LE","NIGERIA",12
"07","LE","NORWAY",15
"07","LE","OMAN",3
"07","LE","PAKISTAN",14
"07","LE","PANAMA",32
"07","LE","PAPUA NEW GUINEA",1
"07","LE","PERU",8
"07","LE","PHILIPPINES",15
"07","LE","POLAND",12
"07","LE","PORTUGAL",14
"07","LE","QATAR",8
"07","LE","ROMANIA",4
"07","LE","RUSSIAN FEDERATION",42
"07","LE","SAINT KITTS AND NEVIS",4
"07","LE","SAINT LUCIA",1
"07","LE","SAINT VINCENT AND THE GRENADINES",2
"07","LE","SAN MARINO",5
"07","LE","SAUDI ARABIA",1
"07","LE","SERBIA",1
"07","LE","SEYCHELLES",1
"07","LE","SIERRA LEONE",1
"07","LE","SINGAPORE",17
"07","LE","SLOVENIA",3
"07","LE","SOUTH AFRICA",16
"07","LE","SPAIN",41
"07","LE","SRI LANKA",3
"07","LE","SWEDEN",20
"07","LE","SWITZERLAND",157
"07","LE","TAIWAN",41
"07","LE","TAJIKISTAN",1
"07","LE","TANZANIA, UNITED REPUBLIC OF",1
"07","LE","THAILAND",22
"07","LE","TRINIDAD AND TOBAGO",7
"07","LE","TURKEY",11
"07","LE","UGANDA",1
"07","LE","UKRAINE",3
"07","LE","UNITED ARAB EMIRATES",14
"07","LE","UNITED KINGDOM",290
"07","LE","UNITED STATES",101
"07","LE","URUGUAY",7
"07","LE","VENEZUELA, BOLIVARIAN REPUBLIC OF",4
"07","LE","VIET NAM",21
"07","LE","VIRGIN ISLANDS (BRITISH)",85
"07","LE","WEST BANK AND GAZA",1
"07","LE","YEMEN",3
"07","LE","ZAMBIA",1
"07","BR","AFGHANISTAN",1
"07","BR","ALGERIA",3
"07","BR","ANDORRA",1
"07","BR","ANGUILLA",9
"07","BR","ANTIGUA AND BARBUDA",10
"07","BR","ARGENTINA",4
"07","BR","ARUBA",1
"07","BR","AUSTRALIA",50
"07","BR","AUSTRIA",34
"07","BR","AZERBAIJAN",1
"07","BR","BAHAMAS",21
"07","BR","BAHRAIN",41
"07","BR","BANGLADESH",7
"07","BR","BARBADOS",11
"07","BR","BELGIUM",61
"07","BR","BELIZE",5
"07","BR","BENIN",2
"07","BR","BERMUDA",15
"07","BR","BOLIVIA, PLURINATIONAL STATE OF",1
"07","BR","BONAIRE, SINT EUSTATIUS AND SABA",10
"07","BR","BRAZIL",8
"07","BR","BRUNEI DARUSSALAM",10
"07","BR","BULGARIA",6
"07","BR","BURKINA FASO",1
"07","BR","CAMBODIA",7
"07","BR","CANADA",52
"07","BR","CAPE VERDE",2
"07","BR","CAYMAN ISLANDS",100
"07","BR","CENTRAL AFRICAN REPUBLIC",1
"07","BR","CHAD",1
"07","BR","CHILE",6
"07","BR","CHINA",45
"07","BR","COLOMBIA",2
"07","BR","COOK ISLANDS",2
"07","BR","COTE D'IVOIRE",2
"07","BR","CURACAO",9
"07","BR","CYPRUS",27
"07","BR","CZECH REPUBLIC",24
"07","BR","DENMARK",24
"07","BR","DOMINICA",10
"07","BR","DOMINICAN REPUBLIC",2
"07","BR","ECUADOR",1
"07","BR","EGYPT",5
"07","BR","EL SALVADOR",3
"07","BR","ESTONIA",7
"07","BR","FALKLAND ISLANDS (MALVINAS)",1
"07","BR","FIJI",3
"07","BR","FINLAND",21
"07","BR","FRANCE",106
"07","BR","FRENCH POLYNESIA",1
"07","BR","GAMBIA",2
"07","BR","GEORGIA",2
"07","BR","GERMANY",123
"07","BR","GHANA",3
"07","BR","GIBRALTAR",8
"07","BR","GREECE",13
"07","BR","GREENLAND",1
"07","BR","GRENADA",11
"07","BR","GUAM",4
"07","BR","GUATEMALA",1
"07","BR","GUERNSEY",27
"07","BR","GUINEA",1
"07","BR","GUYANA",3
"07","BR","HAITI",3
"07","BR","HONDURAS",1
"07","BR","HONG KONG",205
"07","BR","HUNGARY",10
"07","BR","INDIA",44
"07","BR","INDONESIA",9
"07","BR","IRAQ",12
"07","BR","IRELAND",41
"07","BR","ISLE OF MAN",12
"07","BR","ISRAEL",55
"07","BR","ITALY",104
"07","BR","JAMAICA",2
"07","BR","JAPAN",90
"07","BR","JERSEY",24
"07","BR","JORDAN",10
"07","BR","KAZAKHSTAN",2
"07","BR","KENYA",1
"07","BR","KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",1
"07","BR","KOREA, REPUBLIC OF",48
"07","BR","KUWAIT",11
"07","BR","KYRGYZSTAN",2
"07","BR","LAO PEOPLE'S DEMOCRATIC REPUBLIC",9
"07","BR","LATVIA",14
"07","BR","LEBANON",8
"07","BR","LIBYA",1
"07","BR","LIECHTENSTEIN",6
"07","BR","LITHUANIA",10
"07","BR","LUXEMBOURG",56
"07","BR","MACAO",22
"07","BR","MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",1
"07","BR","MADAGASCAR",1
"07","BR","MALAYSIA",31
"07","BR","MALDIVES",3
"07","BR","MALI",2
"07","BR","MALTA",13
"07","BR","MARSHALL ISLANDS",2
"07","BR","MAURITANIA",1
"07","BR","MAURITIUS",16
"07","BR","MEXICO",3
"07","BR","MONACO",13
"07","BR","MONTSERRAT",3
"07","BR","MOROCCO",3
"07","BR","MYANMAR",5
"07","BR","NETHERLANDS",57
"07","BR","NEW CALEDONIA",1
"07","BR","NEW ZEALAND",17
"07","BR","NIGER",1
"07","BR","NORWAY",25
"07","BR","OMAN",7
"07","BR","OTHER",5
"07","BR","PAKISTAN",5
"07","BR","PANAMA",17
"07","BR","PARAGUAY",1
"07","BR","PERU",2
"07","BR","PHILIPPINES",15
"07","BR","POLAND",30
"07","BR","PORTUGAL",25
"07","BR","PUERTO RICO",4
"07","BR","QATAR",22
"07","BR","ROMANIA",8
"07","BR","RUSSIAN FEDERATION",3
"07","BR","RWANDA",1
"07","BR","SAINT KITTS AND NEVIS",13
"07","BR","SAINT LUCIA",16
"07","BR","SAINT MARTIN (FRENCH PART)",2
"07","BR","SAINT VINCENT AND THE GRENADINES",11
"07","BR","SAUDI ARABIA",6
"07","BR","SENEGAL",2
"07","BR","SEYCHELLES",2
"07","BR","SIERRA LEONE",1
"07","BR","SINGAPORE",143
"07","BR","SINT MAARTEN (DUTCH PART)",10
"07","BR","SLOVAKIA",21
"07","BR","SLOVENIA",5
"07","BR","SOLOMON ISLANDS",3
"07","BR","SOUTH AFRICA",11
"07","BR","SOUTH SUDAN",2
"07","BR","SPAIN",91
"07","BR","SRI LANKA",8
"07","BR","SWEDEN",45
"07","BR","SWITZERLAND",84
"07","BR","TAIWAN",36
"07","BR","THAILAND",12
"07","BR","TIMOR-LESTE",2
"07","BR","TOGO",2
"07","BR","TONGA",1
"07","BR","TRINIDAD AND TOBAGO",2
"07","BR","TUNISIA",1
"07","BR","TURKEY",6
"07","BR","TURKS AND CAICOS ISLANDS",5
"07","BR","UGANDA",3
"07","BR","UNITED ARAB EMIRATES",82
"07","BR","UNITED KINGDOM",243
"07","BR","URUGUAY",3
"07","BR","VANUATU",1
"07","BR","VENEZUELA, BOLIVARIAN REPUBLIC OF",1
"07","BR","VIET NAM",25
"07","BR","VIRGIN ISLANDS (BRITISH)",26
"07","BR","VIRGIN ISLANDS (U.S.)",2
"07","BR","WEST BANK AND GAZA",10
"07","BR","YEMEN",6
"07","ME","ALBANIA",12
"07","ME","ALGERIA",4
"07","ME","ANDORRA",12
"07","ME","ANGOLA",5
"07","ME","ANGUILLA",28
"07","ME","ANTIGUA AND BARBUDA",3
"07","ME","ARGENTINA",133
"07","ME","ARMENIA",12
"07","ME","ARUBA",9
"07","ME","AUSTRALIA",759
"07","ME","AUSTRIA",358
"07","ME","AZERBAIJAN",3
"07","ME","BAHAMAS",218
"07","ME","BAHRAIN",45
"07","ME","BANGLADESH",24
"07","ME","BARBADOS",75
"07","ME","BELARUS",11
"07","ME","BELGIUM",118
"07","ME","BELIZE",38
"07","ME","BENIN",3
"07","ME","BERMUDA",316
"07","ME","BOLIVIA, PLURINATIONAL STATE OF",18
"07","ME","BONAIRE, SINT EUSTATIUS AND SABA",2
"07","ME","BOSNIA AND HERZEGOVINA",18
"07","ME","BOTSWANA",13
"07","ME","BRAZIL",529
"07","ME","BRITISH INDIAN OCEAN TERRITORY",1
"07","ME","BRUNEI DARUSSALAM",4
"07","ME","BULGARIA",37
"07","ME","BURKINA FASO",4
"07","ME","CAMBODIA",15
"07","ME","CAMEROON",7
"07","ME","CANADA",772
"07","ME","CAPE VERDE",2
"07","ME","CAYMAN ISLANDS",2629
"07","ME","CHAD",2
"07","ME","CHILE",264
"07","ME","CHINA",100
"07","ME","CHRISTMAS ISLAND",1
"07","ME","COLOMBIA",79
"07","ME","COMOROS",1
"07","ME","CONGO",4
"07","ME","CONGO, DEMOCRATIC REPUBLIC OF THE",4
"07","ME","COOK ISLANDS",11
"07","ME","COSTA RICA",70
"07","ME","COTE D'IVOIRE",12
"07","ME","CROATIA",42
"07","ME","CURACAO",76
"07","ME","CYPRUS",173
"07","ME","CZECH REPUBLIC",74
"07","ME","DENMARK",91
"07","ME","DJIBOUTI",1
"07","ME","DOMINICAN REPUBLIC",20
"07","ME","ECUADOR",13
"07","ME","EGYPT",48
"07","ME","EL SALVADOR",24
"07","ME","EQUATORIAL GUINEA",1
"07","ME","ESTONIA",18
"07","ME","FIJI",1
"07","ME","FINLAND",382
"07","ME","FRANCE",1079
"07","ME","FRENCH POLYNESIA",2
"07","ME","GABON",2
"07","ME","GAMBIA",6
"07","ME","GEORGIA",10
"07","ME","GERMANY",712
"07","ME","GHANA",22
"07","ME","GIBRALTAR",52
"07","ME","GREECE",42
"07","ME","GRENADA",3
"07","ME","GUADELOUPE",1
"07","ME","GUATEMALA",44
"07","ME","GUERNSEY",512
"07","ME","GUINEA",4
"07","ME","GUYANA",1
"07","ME","HAITI",6
"07","ME","HONDURAS",30
"07","ME","HONG KONG",923
"07","ME","HUNGARY",59
"07","ME","ICELAND",2
"07","ME","INDIA",117
"07","ME","INDONESIA",95
"07","ME","IRAQ",8
"07","ME","IRELAND",566
"07","ME","ISLE OF MAN",169
"07","ME","ISRAEL",101
"07","ME","ITALY",284
"07","ME","JAMAICA",27
"07","ME","JAPAN",596
"07","ME","JERSEY",680
"07","ME","JORDAN",26
"07","ME","KAZAKHSTAN",27
"07","ME","KENYA",20
"07","ME","KIRIBATI",1
"07","ME","KOREA, REPUBLIC OF",232
"07","ME","KUWAIT",21
"07","ME","KYRGYZSTAN",4
"07","ME","LAO PEOPLE'S DEMOCRATIC REPUBLIC",3
"07","ME","LATVIA",17
"07","ME","LEBANON",61
"07","ME","LESOTHO",1
"07","ME","LIBERIA",11
"07","ME","LIBYA",2
"07","ME","LIECHTENSTEIN",63
"07","ME","LITHUANIA",16
"07","ME","LUXEMBOURG",1420
"07","ME","MACAO",27
"07","ME","MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",8
"07","ME","MADAGASCAR",5
"07","ME","MALAWI",7
